,,Democratic,Republican,Total Votes Cast,Total Ballots Cast
Precinct,2086159012,103,128,231,231
Precinct,2086159013,363,327,690,690
Precinct,2086159014,232,147,379,379
Precinct,2086159015,400,244,644,644
Precinct,2086159016,323,165,488,488
Precinct,2086159017,428,223,651,651
Precinct,2086159018,431,165,596,596
Precinct,2086159019,421,233,654,654
Precinct,2086159020,340,209,549,549
Precinct,Provisional,52,16,68,68
