,,Democratic,Republican,Libertarian,Green,Unaffiliated,American Constitution,Unity Party of Colorado,American Solidarity,Unaffiliated,Socialism/Liberation,Independent American,Alliance,Unaffiliated,Unaffiliated,Prohibition,Unaffiliated,Progressive,Approval Voting,Socialist Workers,Socialist Equality,Unaffiliated,Unaffiliated/No Party Affiliation,Independent,No Party Affiliation,Total Votes Cast,Total Ballots Cast
Precinct,7243401052,951,528,29,7,7,2,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1529,1529
Precinct,7243401053,600,486,14,4,3,2,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1115,1115
Precinct,7243401080,490,467,13,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,977,977
Precinct,7243401081,545,412,17,6,2,2,2,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,991,991
Precinct,7243401082,542,382,20,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,955,955
Precinct,7243401083,599,468,19,1,2,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1095,1095
Precinct,7243401084,338,319,11,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,676
Precinct,7243401087,690,467,31,5,6,4,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1209,1209
Precinct,7243401090,684,367,19,6,4,1,3,0,0,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1091,1091
Precinct,7243401091,662,373,14,5,7,4,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1069,1069
Precinct,7243401092,653,579,22,3,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1266,1266
Precinct,7243401095,639,506,24,1,6,1,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1185,1185
Precinct,7243401096,515,420,20,5,5,2,1,1,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,974,974
Precinct,7243401098,560,430,12,6,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1015,1015
Precinct,7243401099,413,284,15,1,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,724
Precinct,7243401100,645,448,27,3,4,4,5,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1144,1144
Precinct,7243401101,721,419,28,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1179,1179
Precinct,7243401102,616,425,21,1,2,3,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1075,1075
